HCPCS/Modifier Code	Type of Change
K0052	No change
K0053	No change
K0056	No change
K0065	No change
K0069	No change
K0070	No change
K0071	No change
K0072	No change
K0073	No change
K0077	No change
K0098	No change
K0105	No change
K0108	No change
K0195	No change
K0455	No change
K0462	No change
K0552	No change
K0601	No change
K0602	No change
K0603	No change
K0604	No change
K0605	No change
K0606	No change
K0607	No change
K0608	No change
K0609	No change
K0669	No change
K0672	No change
K0730	No change
K0733	No change
K0738	No change
K0739	No change
K0740	No change
K0741	No change
K0742	No change
K0743	No change
K0744	No change
K0745	No change
K0746	No change
K0800	No change
K0801	No change
K0802	No change
K0806	No change
K0807	No change
K0808	No change
K0812	No change
K0813	No change
K0814	No change
K0815	No change
K0816	No change
K0820	No change
K0821	No change
K0822	No change
K0823	No change
K0824	No change
K0825	No change
K0826	No change
K0827	No change
K0828	No change
K0829	No change
K0830	No change
K0831	No change
K0835	No change
K0836	No change
K0837	No change
K0838	No change
K0839	No change
K0840	No change
K0841	No change
K0842	No change
K0843	No change
K0848	No change
K0849	No change
K0850	No change
K0851	No change
K0852	No change
K0853	No change
K0854	No change
K0855	No change
K0856	No change
K0857	No change
K0858	No change
K0859	No change
K0860	No change
K0861	No change
K0862	No change
K0863	No change
K0864	No change
K0868	No change
K0869	No change
K0870	No change
K0871	No change
K0877	No change
K0878	No change
K0879	No change
K0880	No change
K0884	No change
K0885	No change
K0886	No change
K0890	No change
K0891	No change
K0898	No change
K0899	Change in Payment
K0900	No change
K0901	No change
K0902	No change
K1	No change
K2	No change
K3	No change
K4	No change
KA	No change
KB	No change
KC	No change
KD	No change
KE	No change
KF	No change
KG	No change
KH	No change
KI	No change
KJ	No change
KK	No change
KL	No change
KM	No change
KN	No change
KO	No change
KP	No change
KQ	No change
KR	No change
KS	No change
KT	No change
KU	No change
KV	No change
KW	No change
KX	No change
KY	No change
KZ	No change
L0112	No change
L0113	No change
L0120	No change
L0130	No change
L0140	No change
L0150	No change
L0160	No change
L0170	No change
L0172	No change
L0174	No change
L0180	No change
L0190	No change
L0200	No change
L0220	No change
L0430	No change
L0450	No change
L0452	No change
L0454	No change
L0455	No change
L0456	No change
L0457	No change
L0458	No change
L0460	No change
L0462	No change
L0464	No change
L0466	No change
L0467	No change
L0468	No change
L0469	No change
L0470	No change
L0472	No change
L0480	No change
L0482	No change
L0484	No change
L0486	No change
L0488	No change
L0490	No change
L0491	No change
L0492	No change
L0621	No change
L0622	No change
L0623	No change
L0624	No change
L0625	No change
L0626	No change
L0627	No change
L0628	No change
L0629	No change
L0630	No change
L0631	No change
L0632	No change
L0633	No change
L0634	No change
L0635	No change
L0636	No change
L0637	No change
L0638	No change
L0639	No change
L0640	No change
L0641	No change
L0642	No change
L0643	No change
L0648	No change
L0649	No change
L0650	No change
L0651	No change
L0700	No change
L0710	No change
L0810	No change
L0820	No change
L0830	No change
L0859	No change
L0861	No change
L0970	No change
L0972	No change
L0974	No change
L0976	No change
L0978	No change
L0980	No change
L0982	No change
L0984	No change
L0999	No change
L1	No change
L1000	No change
L1001	No change
L1005	No change
L1010	No change
L1020	No change
L1025	No change
L1030	No change
L1040	No change
L1050	No change
L1060	No change
L1070	No change
L1080	No change
L1085	No change
L1090	No change
L1100	No change
L1110	No change
L1120	No change
L1200	No change
L1210	No change
L1220	No change
L1230	No change
L1240	No change
L1250	No change
L1260	No change
L1270	No change
L1280	No change
L1290	No change
L1300	No change
L1310	No change
L1499	No change
L1600	No change
L1610	No change
L1620	No change
L1630	No change
L1640	No change
L1650	No change
L1652	No change
L1660	No change
L1680	No change
L1685	No change
L1686	No change
L1690	No change
L1700	No change
L1710	No change
L1720	No change
L1730	No change
L1755	No change
L1810	No change
L1812	No change
L1820	No change
L1830	No change
L1831	No change
L1832	No change
L1833	No change
L1834	No change
L1836	No change
L1840	No change
L1843	No change
L1844	No change
L1845	No change
L1846	No change
L1847	No change
L1848	No change
L1850	No change
L1860	No change
L1900	No change
L1902	Change in Long Description
L1904	Change in Long Description
L1906	No change
L1907	No change
L1910	No change
L1920	No change
L1930	No change
L1932	No change
L1940	No change
L1945	No change
L1950	No change
L1951	No change
L1960	No change
L1970	No change
L1971	No change
L1980	No change
L1990	No change
L2000	No change
L2005	No change
L2010	No change
L2020	No change
L2030	No change
L2034	No change
L2035	No change
L2036	No change
L2037	No change
L2038	No change
L2040	No change
L2050	No change
L2060	No change
L2070	No change
L2080	No change
L2090	No change
L2106	No change
L2108	No change
L2112	No change
L2114	No change
L2116	No change
L2126	No change
L2128	No change
L2132	No change
L2134	No change
L2136	No change
L2180	No change
L2182	No change
L2184	No change
L2186	No change
L2188	No change
L2190	No change
L2192	No change
L2200	No change
L2210	No change
L2220	No change
L2230	No change
L2232	No change
L2240	No change
L2250	No change
L2260	No change
L2265	No change
L2270	No change
L2275	No change
L2280	No change
L2300	No change
L2310	No change
L2320	No change
L2330	No change
L2335	No change
L2340	No change
L2350	No change
L2360	No change
L2370	No change
L2375	No change
L2380	No change
L2385	No change
L2387	No change
L2390	No change
L2395	No change
L2397	No change
L2405	No change
L2415	No change
L2425	No change
L2430	No change
L2492	No change
L2500	No change
L2510	No change
L2520	No change
L2525	No change
L2526	No change
L2530	No change
L2540	No change
L2550	No change
L2570	No change
L2580	No change
L2600	No change
L2610	No change
L2620	No change
L2622	No change
L2624	No change
L2627	No change
L2628	No change
L2630	No change
L2640	No change
L2650	No change
L2660	No change
L2670	No change
L2680	No change
L2750	No change
L2755	No change
L2760	No change
L2768	No change
L2780	No change
L2785	No change
L2795	No change
L2800	No change
L2810	No change
L2820	No change
L2830	No change
L2840	No change
L2850	No change
L2861	No change
L2999	No change
L3000	No change
L3001	No change
L3002	No change
L3003	No change
L3010	No change
L3020	No change
L3030	No change
L3031	No change
L3040	No change
L3050	No change
L3060	No change
L3070	No change
L3080	No change
L3090	No change
L3100	No change
L3140	No change
L3150	No change
L3160	No change
L3170	No change
L3201	No change
L3202	No change
L3203	No change
L3204	No change
L3206	No change
L3207	No change
L3208	No change
L3209	No change
L3211	No change
L3212	No change
L3213	No change
L3214	No change
L3215	No change
L3216	No change
L3217	No change
L3219	No change
L3221	No change
L3222	No change
L3224	No change
L3225	No change
L3230	No change
L3250	No change
L3251	No change
L3252	No change
L3253	No change
L3254	No change
L3255	No change
L3257	No change
L3260	No change
L3265	No change
L3300	No change
L3310	No change
L3320	No change
L3330	No change
L3332	No change
L3334	No change
L3340	No change
L3350	No change
L3360	No change
L3370	No change
L3380	No change
L3390	No change
L3400	No change
L3410	No change
L3420	No change
L3430	No change
L3440	No change
L3450	No change
L3455	No change
L3460	No change
L3465	No change
L3470	No change
L3480	No change
L3485	No change
L3500	No change
L3510	No change
L3520	No change
L3530	No change
L3540	No change
L3550	No change
L3560	No change
L3570	No change
L3580	No change
L3590	No change
L3595	No change
L3600	No change
L3610	No change
L3620	No change
L3630	No change
L3640	No change
L3649	No change
L3650	No change
L3660	No change
L3670	No change
L3671	No change
L3674	No change
L3675	No change
L3677	No change
L3678	No change
L3702	No change
L3710	No change
L3720	No change
L3730	No change
L3740	No change
L3760	No change
L3762	No change
L3763	No change
L3764	No change
L3765	No change
L3766	No change
L3806	No change
L3807	No change
L3808	No change
L3809	No change
L3891	No change
L3900	No change
L3901	No change
L3904	No change
L3905	No change
L3906	No change
L3908	No change
L3912	No change
L3913	No change
L3915	No change
L3916	No change
L3917	No change
L3918	No change
L3919	No change
L3921	No change
L3923	No change
L3924	No change
L3925	No change
L3927	No change
L3929	No change
L3930	No change
L3931	No change
L3933	No change
L3935	No change
L3956	No change
L3960	No change
L3961	No change
L3962	No change
L3967	No change
L3971	No change
L3973	No change
L3975	No change
L3976	No change
L3977	No change
L3978	No change
L3980	No change
L3981	No change
L3982	No change
L3984	No change
L3995	No change
L3999	No change
L4000	No change
L4002	No change
L4010	No change
L4020	No change
L4030	No change
L4040	No change
L4045	No change
L4050	No change
L4055	No change
L4060	No change
L4070	No change
L4080	No change
L4090	No change
L4100	No change
L4110	No change
L4130	No change
L4205	No change
L4210	No change
L4350	No change
L4360	No change
L4361	No change
L4370	No change
L4386	No change
L4387	No change
L4392	No change
L4394	No change
L4396	No change
L4397	No change
L4398	No change
L4631	No change
L5000	No change
L5010	No change
L5020	No change
L5050	No change
L5060	No change
L5100	No change
L5105	No change
L5150	No change
L5160	No change
L5200	No change
L5210	No change
L5220	No change
L5230	No change
L5250	No change
L5270	No change
L5280	No change
L5301	No change
L5312	No change
L5321	No change
L5331	No change
L5341	No change
L5400	No change
L5410	No change
L5420	No change
L5430	No change
L5450	No change
L5460	No change
L5500	No change
L5505	No change
L5510	No change
L5520	No change
L5530	No change
L5535	No change
L5540	No change
L5560	No change
L5570	No change
L5580	No change
L5585	No change
L5590	No change
L5595	No change
L5600	No change
L5610	No change
L5611	No change
L5613	No change
L5614	No change
L5616	No change
L5617	No change
L5618	No change
L5620	No change
L5622	No change
L5624	No change
L5626	No change
L5628	No change
L5629	No change
L5630	No change
L5631	No change
L5632	No change
L5634	No change
L5636	No change
L5637	No change
L5638	No change
L5639	No change
L5640	No change
L5642	No change
L5643	No change
L5644	No change
L5645	No change
L5646	No change
L5647	No change
L5648	No change
L5649	No change
L5650	No change
L5651	No change
L5652	No change
L5653	No change
L5654	No change
L5655	No change
L5656	No change
L5658	No change
L5661	No change
L5665	No change
L5666	No change
L5668	No change
L5670	No change
L5671	No change
L5672	No change
L5673	No change
L5676	No change
L5677	No change
L5678	No change
L5679	No change
L5680	No change
L5681	No change
L5682	No change
L5683	No change
L5684	No change
L5685	No change
L5686	No change
L5688	No change
L5690	No change
L5692	No change
L5694	No change
L5695	No change
L5696	No change
L5697	No change
L5698	No change
L5699	No change
L5700	No change
L5701	No change
L5702	No change
L5703	No change
L5704	No change
L5705	No change
L5706	No change
L5707	No change
L5710	No change
L5711	No change
L5712	No change
L5714	No change
L5716	No change
L5718	No change
L5722	No change
L5724	No change
L5726	No change
L5728	No change
L5780	No change
L5781	No change
L5782	No change
L5785	No change
L5790	No change
L5795	No change
L5810	No change
L5811	No change
L5812	No change
L5814	No change
L5816	No change
L5818	No change
L5822	No change
L5824	No change
L5826	No change
L5828	No change
L5830	No change
L5840	No change
L5845	No change
L5848	No change
L5850	No change
L5855	No change
L5856	No change
L5857	No change
L5858	No change
L5859	No change
L5910	No change
L5920	No change
L5925	No change
L5930	No change
L5940	No change
L5950	No change
L5960	No change
L5961	No change
L5962	No change
L5964	No change
L5966	No change
L5968	No change
L5969	No change
L5970	No change
L5971	No change
L5972	No change
L5973	No change
L5974	No change
L5975	No change
L5976	No change
L5978	No change
L5979	No change
L5980	No change
L5981	No change
L5982	No change
L5984	No change
L5985	No change
L5986	No change
L5987	No change
L5988	No change
L5990	No change
L5999	No change
L6000	No change
L6010	No change
L6020	No change
L6025	No change
L6026	No change
L6050	No change
L6055	No change
L6100	No change
L6110	No change
L6120	No change
L6130	No change
L6200	No change
L6205	No change
L6250	No change
L6300	No change
L6310	No change
L6320	No change
L6350	No change
L6360	No change
L6370	No change
L6380	No change
L6382	No change
L6384	No change
L6386	No change
L6388	No change
L6400	No change
L6450	No change
L6500	No change
L6550	No change
L6570	No change
L6580	No change
L6582	No change
L6584	No change
L6586	No change
L6588	No change
L6590	No change
L6600	No change
L6605	No change
L6610	No change
L6611	No change
L6615	No change
L6616	No change
L6620	No change
L6621	No change
L6623	No change
L6624	No change
L6625	No change
L6628	No change
L6629	No change
L6630	No change
L6632	No change
L6635	No change
L6637	No change
L6638	No change
L6640	No change
L6641	No change
L6642	No change
L6645	No change
L6646	No change
L6647	No change
L6648	No change
L6650	No change
L6655	No change
L6660	No change
L6665	No change
L6670	No change
L6672	No change
L6675	No change
L6676	No change
L6677	No change
L6680	No change
L6682	No change
L6684	No change
L6686	No change
L6687	No change
L6688	No change
L6689	No change
L6690	No change
L6691	No change
L6692	No change
L6693	No change
L6694	No change
L6695	No change
L6696	No change
L6697	No change
L6698	No change
L6703	No change
L6704	No change
L6706	No change
L6707	No change
L6708	No change
L6709	No change
L6711	No change
L6712	No change
L6713	No change
L6714	No change
L6715	No change
L6721	No change
L6722	No change
L6805	No change
L6810	No change
L6880	No change
L6881	No change
L6882	No change
L6883	No change
L6884	No change
L6885	No change
L6890	No change
L6895	No change
L6900	No change
L6905	No change
L6910	No change
L6915	No change
L6920	No change
L6925	No change
L6930	No change
L6935	No change
L6940	No change
L6945	No change
L6950	No change
L6955	No change
L6960	No change
L6965	No change
L6970	No change
L6975	No change
L7007	No change
L7008	No change
L7009	No change
L7040	No change
L7045	No change
L7170	No change
L7180	No change
L7181	No change
L7185	No change
L7186	No change
L7190	No change
L7191	No change
L7259	No change
L7260	No change
L7261	No change
L7360	No change
L7362	No change
L7364	No change
L7366	No change
L7367	No change
L7368	No change
L7400	No change
L7401	No change
L7402	No change
L7403	No change
L7404	No change
L7405	No change
L7499	No change
L7510	No change
L7520	No change
L7600	No change
L7900	Change in Coverage
L7902	Change in Coverage
L8000	No change
L8001	No change
L8002	No change
L8010	No change
L8015	No change
L8020	No change
L8030	No change
L8031	No change
L8032	No change
L8035	No change
L8039	No change
L8040	No change
L8041	No change
L8042	No change
L8043	No change
L8044	No change
L8045	No change
L8046	No change
L8047	No change
L8048	No change
L8049	No change
L8300	No change
L8310	No change
L8320	No change
L8330	No change
L8400	No change
L8410	No change
L8415	No change
L8417	No change
L8420	No change
L8430	No change
L8435	No change
L8440	No change
L8460	No change
L8465	No change
L8470	No change
L8480	No change
L8485	No change
L8499	No change
L8500	No change
L8501	No change
L8505	No change
L8507	No change
L8509	No change
L8510	No change
L8511	No change
L8512	No change
L8513	No change
L8514	No change
L8515	No change
L8600	No change
L8603	No change
L8604	No change
L8605	No change
L8606	No change
L8607	Add
L8609	No change
L8610	No change
L8612	No change
L8613	No change
L8614	No change
L8615	No change
L8616	No change
L8617	No change
L8618	No change
L8619	No change
L8621	Change in Long Description
L8622	No change
L8623	No change
L8624	No change
L8627	No change
L8628	No change
L8629	No change
L8630	No change
L8631	No change
L8641	No change
L8642	No change
L8658	No change
L8659	No change
L8670	No change
L8679	No change
L8680	No change
L8681	No change
L8682	No change
L8683	No change
L8684	No change
L8685	No change
L8686	No change
L8687	No change
L8688	No change
L8689	No change
L8690	No change
L8691	No change
L8692	No change
L8693	No change
L8695	No change
L8696	No change
L8699	No change
L9900	No change
LC	No change
LD	No change
LL	No change
LM	No change
LR	No change
LS	No change
LT	No change
M0064	No change
M0075	No change
M0076	No change
M0100	No change
M0300	No change
M0301	No change
M2	No change
MS	No change
NB	No change
NR	No change
NU	No change
P1	No change
P2	No change
P2028	No change
P2029	No change
P2031	No change
P2033	No change
P2038	No change
P3	No change
P3000	No change
P3001	No change
P4	No change
P5	No change
P6	No change
P7001	No change
P9010	No change
P9011	No change
P9012	No change
P9016	No change
P9017	No change
P9019	No change
P9020	No change
P9021	No change
P9022	No change
P9023	No change
P9031	No change
P9032	No change
P9033	No change
P9034	No change
P9035	No change
P9036	No change
P9037	No change
P9038	No change
P9039	No change
P9040	No change
P9041	No change
P9043	No change
P9044	No change
P9045	No change
P9046	No change
P9047	No change
P9048	No change
P9050	No change
P9051	No change
P9052	No change
P9053	No change
P9054	No change
P9055	No change
P9056	No change
P9057	No change
P9058	No change
P9059	No change
P9060	No change
P9070	Add
P9071	Add
P9072	Add
P9603	No change
P9604	No change
P9612	No change
P9615	No change
PA	No change
PB	No change
PC	No change
PD	No change
PI	No change
PL	No change
PM	No change
PO	No change
PS	No change
PT	No change
Q0	No change
Q0035	No change
Q0081	No change
Q0083	No change
Q0084	No change
Q0085	No change
Q0090	No change
Q0091	No change
Q0092	No change
Q0111	No change
Q0112	No change
Q0113	No change
Q0114	No change
Q0115	No change
Q0138	No change
Q0139	No change
Q0144	No change
Q0161	No change
Q0162	No change
Q0163	No change
Q0164	No change
Q0165	No change
Q0166	No change
Q0167	No change
Q0168	No change
Q0169	No change
Q0170	No change
Q0171	No change
Q0172	No change
Q0173	No change
Q0174	No change
Q0175	No change
Q0176	No change
Q0177	No change
Q0178	No change
Q0180	No change
Q0181	No change
Q0478	No change
Q0479	No change
Q0480	No change
Q0481	No change
Q0482	No change
Q0483	No change
Q0484	No change
Q0485	No change
Q0486	No change
Q0487	No change
Q0488	No change
Q0489	No change
Q0490	No change
Q0491	No change
Q0492	No change
Q0493	No change
Q0494	No change
Q0495	No change
Q0496	No change
Q0497	No change
Q0498	No change
Q0499	No change
Q0500	No change
Q0501	No change
Q0502	No change
Q0503	No change
Q0504	No change
Q0505	No change
Q0506	No change
Q0507	No change
Q0508	No change
Q0509	No change
Q0510	No change
Q0511	No change
Q0512	No change
Q0513	No change
Q0514	No change
Q0515	No change
Q1	No change
Q1004	No change
Q1005	No change
Q2	No change
Q2004	No change
Q2009	No change
Q2017	No change
Q2026	No change
Q2027	No change
Q2028	No change
Q2033	No change
Q2034	No change
Q2035	No change
Q2036	No change
Q2037	No change
Q2038	No change
Q2039	No change
Q2043	No change
Q2045	No change
Q2046	No change
Q2047	No change
Q2048	No change
Q2049	No change
Q2050	No change
Q2051	No change
Q2052	No change
Q3	No change
Q3001	No change
Q3014	No change
Q3025	No change
Q3026	No change
Q3027	No change
Q3028	No change
Q3031	No change
Q4	No change
Q4001	No change
Q4002	No change
Q4003	No change
Q4004	No change
Q4005	No change
Q4006	No change
Q4007	No change
Q4008	No change
Q4009	No change
Q4010	No change
Q4011	No change
Q4012	No change
Q4013	No change
Q4014	No change
Q4015	No change
Q4016	No change
Q4017	No change
Q4018	No change
Q4019	No change
Q4020	No change
Q4021	No change
Q4022	No change
Q4023	No change
Q4024	No change
Q4025	No change
Q4026	No change
Q4027	No change
Q4028	No change
Q4029	No change
Q4030	No change
Q4031	No change
Q4032	No change
Q4033	No change
Q4034	No change
Q4035	No change
Q4036	No change
Q4037	No change
Q4038	No change
Q4039	No change
Q4040	No change
Q4041	No change
Q4042	No change
Q4043	No change
Q4044	No change
Q4045	No change
Q4046	No change
Q4047	No change
Q4048	No change
Q4049	No change
Q4050	No change
Q4051	No change
Q4074	No change
Q4081	No change
Q4082	No change
Q4100	No change
Q4101	No change
Q4102	No change
Q4103	No change
Q4104	No change
Q4105	No change
Q4106	No change
Q4107	No change
Q4108	No change
Q4110	No change
Q4111	No change
Q4112	No change
Q4113	No change
Q4114	No change
Q4115	No change
Q4116	No change
Q4117	No change
Q4118	No change
Q4119	No change
Q4120	No change
Q4121	No change
Q4122	Change in Payment
Q4123	No change
Q4124	No change
Q4125	No change
Q4126	No change
Q4127	Change in Payment
Q4128	No change
Q4129	No change
Q4130	No change
Q4131	No change
Q4132	No change
Q4133	No change
Q4134	No change
Q4135	No change
Q4136	No change
Q4137	No change
Q4138	No change
Q4139	No change
Q4140	No change
Q4141	No change
Q4142	No change
Q4143	No change
Q4145	No change
Q4146	No change
Q4147	No change
Q4148	No change
Q4149	No change
Q4150	No change
Q4151	No change
Q4152	No change
Q4153	Change in Long Description
Q4154	No change
Q4155	No change
Q4156	No change
Q4157	No change
Q4158	No change
Q4159	No change
Q4160	No change
Q4161	Add
Q4162	Add
Q4163	Add
Q4164	Add
Q4165	Add
Q5	No change
Q5001	No change
Q5002	No change
Q5003	No change
Q5004	No change
Q5005	No change
Q5006	No change
Q5007	No change
Q5008	No change
Q5009	No change
Q5010	No change
Q5101	Add
Q6	No change
Q7	No change
Q8	No change
Q9	No change
Q9950	Add
Q9951	No change
Q9953	No change
Q9954	No change
Q9955	No change
Q9956	No change
Q9957	No change
Q9958	No change
Q9959	No change
Q9960	No change
Q9961	No change
Q9962	No change
Q9963	No change
Q9964	No change
Q9965	No change
Q9966	No change
Q9967	No change
Q9968	No change
Q9969	No change
Q9970	No change
Q9972	No change
Q9973	No change
Q9974	No change
Q9975	Discontinued
Q9976	Discontinued
Q9977	Discontinued
Q9978	Discontinued
Q9979	Discontinued
Q9980	Add
QC	No change
QD	No change
QE	No change
QF	No change
QG	No change
QH	No change
QJ	No change
QK	No change
QL	No change
QM	No change
QN	No change
QP	No change
QS	No change
QT	No change
QW	No change
QX	No change
QY	No change
QZ	No change
R0070	No change
R0075	No change
R0076	No change
RA	No change
RB	No change
RC	No change
RD	No change
RE	No change
RI	No change
RR	No change
RT	No change
S0012	No change
S0014	No change
S0017	No change
S0020	No change
S0021	No change
S0023	No change
S0028	No change
S0030	No change
S0032	No change
S0034	No change
S0039	No change
S0040	No change
S0073	No change
S0074	No change
S0077	No change
S0078	No change
S0080	No change
S0081	No change
S0088	No change
S0090	No change
S0091	No change
S0092	No change
S0093	No change
S0104	No change
S0106	No change
S0108	No change
S0109	No change
S0117	No change
S0119	No change
S0122	No change
S0126	No change
S0128	No change
S0132	No change
S0136	No change
S0137	No change
S0138	No change
S0139	No change
S0140	No change
S0142	No change
S0144	No change
S0145	No change
S0148	No change
S0155	No change
S0156	No change
S0157	No change
S0160	No change
S0164	No change
S0166	No change
S0169	No change
S0170	No change
S0171	No change
S0172	No change
S0174	No change
S0175	No change
S0176	No change
S0177	No change
S0178	No change
S0179	No change
S0182	No change
S0183	No change
S0187	No change
S0189	No change
S0190	No change
S0191	No change
S0194	No change
S0195	Discontinued
S0197	No change
S0199	No change
S0201	No change
S0207	No change
S0208	No change
S0209	No change
S0215	No change
S0220	No change
S0221	No change
S0250	No change
S0255	No change
S0257	No change
S0260	No change
S0265	No change
S0270	No change
S0271	No change
S0272	No change
S0273	No change
S0274	No change
S0280	No change
S0281	No change
S0302	No change
S0310	No change
S0315	No change
S0316	No change
S0317	No change
S0320	No change
S0340	No change
S0341	No change
S0342	No change
S0353	No change
S0354	No change
S0390	No change
S0395	No change
S0400	No change
S0500	No change
S0504	No change
S0506	No change
S0508	No change
S0510	No change
S0512	No change
S0514	No change
S0515	No change
S0516	No change
S0518	No change
S0580	No change
S0581	No change
S0590	No change
S0592	No change
S0595	No change
S0596	No change
S0601	No change
S0610	No change
S0612	No change
S0613	No change
S0618	No change
S0620	No change
S0621	No change
S0622	No change
S0630	No change
S0800	No change
S0810	No change
S0812	No change
S1001	No change
S1002	No change
S1015	No change
S1016	No change
S1030	No change
S1031	No change
S1034	No change
S1035	No change
S1036	No change
S1037	No change
S1040	No change
S1090	No change
S2053	No change
S2054	No change
S2055	No change
S2060	No change
S2061	No change
S2065	No change
S2066	No change
S2067	No change
S2068	No change
S2070	No change
S2079	No change
S2080	No change
S2083	No change
S2095	No change
S2102	No change
S2103	No change
S2107	No change
S2112	No change
S2115	No change
S2117	No change
S2118	No change
S2120	No change
S2140	No change
S2142	No change
S2150	No change
S2152	No change
S2202	No change
S2205	No change
S2206	No change
S2207	No change
S2208	No change
S2209	No change
S2225	No change
S2230	No change
S2235	No change
S2260	No change
S2265	No change
S2266	No change
S2267	No change
S2300	No change
S2325	No change
S2340	No change
S2341	No change
S2342	No change
S2348	No change
S2350	No change
S2351	No change
S2360	Discontinued
S2361	Discontinued
S2400	No change
S2401	No change
S2402	No change
S2403	No change
S2404	No change
S2405	No change
S2409	No change
S2411	No change
S2900	No change
S3000	No change
S3005	No change
S3600	No change
S3601	No change
S3620	No change
S3625	No change
S3626	No change
S3630	No change
S3645	No change
S3650	No change
S3652	No change
S3655	No change
S3708	No change
S3711	No change
S3713	No change
S3721	Discontinued
S3722	No change
S3800	No change
S3818	No change
S3819	No change
S3820	No change
S3822	No change
S3823	No change
S3828	No change
S3829	No change
S3830	No change
S3831	No change
S3833	No change
S3834	No change
S3835	No change
S3837	No change
S3840	No change
S3841	No change
S3842	No change
S3843	No change
S3844	No change
S3845	No change
S3846	No change
S3847	No change
S3848	No change
S3849	No change
S3850	No change
S3851	No change
S3852	No change
S3853	No change
S3854	Discontinued
S3855	No change
S3860	No change
S3861	No change
S3862	No change
S3865	No change
S3866	No change
S3870	No change
S3890	Discontinued
S3900	No change
S3902	No change
S3904	No change
S4005	No change
S4011	No change
S4013	No change
S4014	No change
S4015	No change
S4016	No change
S4017	No change
S4018	No change
S4020	No change
S4021	No change
S4022	No change
S4023	No change
S4025	No change
S4026	No change
S4027	No change
S4028	No change
S4030	No change
S4031	No change
S4035	No change
S4037	No change
S4040	No change
S4042	No change
S4981	No change
S4989	No change
S4990	No change
S4991	No change
S4993	No change
S4995	No change
S5000	No change
S5001	No change
S5010	No change
S5011	Discontinued
S5012	No change
S5013	No change
S5014	No change
S5035	No change
S5036	No change
S5100	No change
S5101	No change
S5102	No change
S5105	No change
S5108	No change
S5109	No change
S5110	No change
S5111	No change
S5115	No change
S5116	No change
S5120	No change
S5121	No change
S5125	No change
S5126	No change
S5130	No change
S5131	No change
S5135	No change
S5136	No change
S5140	No change
S5141	No change
S5145	No change
S5146	No change
S5150	No change
S5151	No change
S5160	No change
S5161	No change
S5162	No change
S5165	No change
S5170	No change
S5175	No change
S5180	No change
S5181	No change
S5185	No change
S5190	No change
S5199	No change
S5497	No change
S5498	No change
S5501	No change
S5502	No change
S5517	No change
S5518	No change
S5520	No change
S5521	No change
S5522	No change
S5523	No change
S5550	No change
S5551	No change
S5552	No change
S5553	No change
S5560	No change
S5561	No change
S5565	No change
S5566	No change
S5570	No change
S5571	No change
S8030	No change
S8032	No change
S8035	No change
S8037	No change
S8040	No change
S8042	No change
S8049	No change
S8055	No change
S8080	No change
S8085	No change
S8092	No change
S8096	No change
S8097	No change
S8100	No change
S8101	No change
S8110	No change
S8120	No change
S8121	No change
S8130	No change
S8131	No change
S8185	No change
S8186	No change
S8189	No change
S8210	No change
S8262	Discontinued
S8265	No change
S8270	No change
S8301	No change
S8415	No change
S8420	No change
S8421	No change
S8422	No change
S8423	No change
S8424	No change
S8425	No change
S8426	No change
S8427	No change
S8428	No change
S8429	No change
S8430	No change
S8431	No change
S8450	No change
S8451	No change
S8452	No change
S8460	No change
S8490	No change
S8930	No change
S8940	No change
S8948	No change
S8950	No change
S8990	No change
S8999	No change
S9001	No change
S9007	No change
S9015	Discontinued
S9024	No change
S9025	No change
S9034	No change
S9055	No change
S9056	No change
S9061	No change
S9083	No change
S9088	No change
S9090	No change
S9097	No change
S9098	No change
S9109	No change
S9110	No change
S9117	No change
S9122	No change
S9123	No change
S9124	No change
S9125	No change
S9126	No change
S9127	No change
S9128	No change
S9129	No change
S9131	No change
S9140	No change
S9141	No change
S9145	No change
S9150	No change
S9152	No change
S9208	No change
S9209	No change
S9211	No change
S9212	No change
S9213	No change
S9214	No change
S9325	No change
S9326	No change
S9327	No change
S9328	No change
S9329	No change
S9330	No change
S9331	No change
S9335	No change
S9336	No change
S9338	No change
S9339	No change
S9340	No change
S9341	No change
S9342	No change
S9343	No change
S9345	No change
S9346	No change
S9347	No change
S9348	No change
S9349	No change
S9351	No change
S9353	No change
S9355	No change
S9357	No change
S9359	No change
S9361	No change
S9363	No change
S9364	No change
S9365	No change
S9366	No change
S9367	No change
S9368	No change
S9370	No change
S9372	No change
S9373	No change
S9374	No change
S9375	No change
S9376	No change
S9377	No change
S9379	No change
S9381	No change
S9401	No change
S9430	No change
S9433	No change
S9434	No change
S9435	No change
S9436	No change
S9437	No change
S9438	No change
S9439	No change
S9441	No change
S9442	No change
S9443	No change
S9444	No change
S9445	No change
S9446	No change
S9447	No change
S9449	No change
S9451	No change
S9452	No change
S9453	No change
S9454	No change
S9455	No change
S9460	No change
S9465	No change
S9470	No change
S9472	No change
S9473	No change
S9474	No change
S9475	No change
S9476	No change
S9480	No change
S9482	No change
S9484	No change
S9485	No change
S9490	No change
S9494	No change
S9497	No change
S9500	No change
S9501	No change
S9502	No change
S9503	No change
S9504	No change
S9529	No change
S9537	No change
S9538	No change
S9542	No change
S9558	No change
S9559	No change
S9560	No change
S9562	No change
S9590	No change
S9810	No change
S9900	No change
S9901	No change
S9960	No change
S9961	No change
S9970	No change
S9975	No change
S9976	No change
S9977	No change
S9981	No change
S9982	No change
